invoice_id,client_name,client_email,account_manager,segment,status,issue_date,due_date,currency,total_excl_vat,vat_rate,total_incl_vat,payment_terms,description,internal_notes
INV-1001,Acme 1000,acme-1@example.com,Laura Stein,Enterprise,Paid,2026-01-02,2026-01-30,EUR,2000.00,20,2400.00,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 1. row-1",Signed and approved by finance team.
INV-1002,Northline 1001,northline-2@example.com,Marc Dubois,SMB,Pending,2026-01-03,2026-01-31,EUR,2157.00,10,2372.70,45 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 2. row-2",Reviewing invoice details prior to final dispatch.
INV-1003,Blue Horizon 1002,blue horizon-3@example.com,Sophie Klein,Startup,Overdue,2026-01-04,2026-02-01,EUR,2314.00,5,2429.70,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 3. row-3",Awaiting manager review before payment.
INV-1004,Redline 1003,redline-4@example.com,Ari Tan,Mid-market,Paid,2026-01-05,2026-02-02,EUR,2471.00,20,2965.20,45 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 4. row-4",Cross-departmental sync in progress.
INV-1005,Nimbus 1004,nimbus-5@example.com,Noah Rivas,Enterprise,Pending,2026-01-06,2026-02-03,EUR,2628.00,10,2890.80,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 5. row-5",Customer asked for delivery timeline confirmation.
INV-1006,Aster 1005,aster-6@example.com,Laura Stein,SMB,Overdue,2026-01-07,2026-02-04,EUR,2785.00,5,2924.25,45 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 6. row-6",Signed and approved by finance team.
INV-1007,Acme 1006,acme-7@example.com,Marc Dubois,Startup,Paid,2026-01-08,2026-02-05,EUR,2942.00,20,3530.40,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 7. row-7",Reviewing invoice details prior to final dispatch.
INV-1008,Northline 1007,northline-8@example.com,Sophie Klein,Mid-market,Pending,2026-01-09,2026-02-06,EUR,3099.00,10,3408.90,45 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 8. row-8",Awaiting manager review before payment.
INV-1009,Blue Horizon 1008,blue horizon-9@example.com,Ari Tan,Enterprise,Overdue,2026-01-10,2026-02-07,EUR,3256.00,5,3418.80,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 9. row-9",Cross-departmental sync in progress.
INV-1010,Redline 1009,redline-10@example.com,Noah Rivas,SMB,Paid,2026-01-11,2026-02-08,EUR,3413.00,20,4095.60,45 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 10. row-10",Customer asked for delivery timeline confirmation.
INV-1011,Nimbus 1010,nimbus-11@example.com,Laura Stein,Startup,Pending,2026-01-12,2026-02-09,EUR,3570.00,10,3927.00,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 11. row-11",Signed and approved by finance team.
INV-1012,Aster 1011,aster-12@example.com,Marc Dubois,Mid-market,Overdue,2026-01-13,2026-02-10,EUR,3727.00,5,3913.35,45 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 12. row-12",Reviewing invoice details prior to final dispatch.
INV-1013,Acme 1012,acme-13@example.com,Sophie Klein,Enterprise,Paid,2026-01-14,2026-02-11,EUR,3884.00,20,4660.80,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 13. row-13",Awaiting manager review before payment.
INV-1014,Northline 1013,northline-14@example.com,Ari Tan,SMB,Pending,2026-01-15,2026-02-12,EUR,4041.00,10,4445.10,45 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 14. row-14",Cross-departmental sync in progress.
INV-1015,Blue Horizon 1014,blue horizon-15@example.com,Noah Rivas,Startup,Overdue,2026-01-16,2026-02-13,EUR,4198.00,5,4407.90,30 days,"This long description is intentionally verbose to stress text wrapping, column width constraints, and pagination behavior. It includes operational context, scope notes, and implementation caveats for invoice 15. row-15",Customer asked for delivery timeline confirmation.
